Numéro pdc;Numéro station;n_amenageur;n_operateur;n_enseigne;id_station;n_station;ad_station;code_insee;Xlongitude;Ylatitude;nbre_pdc;id_pdc;puiss_max;type_prise;acces_recharge;accessibilité;observations;date_maj
2;80;CAPG;IZIVIA;WiiiZ;FR*A16*P*WIIZ*80*_*_*_;Peymeinade Parking St Marc;Avenue du Dr Belletrud;06095;6.875872;43.639107;2;FR*A16*E*WIIZ*80*1*2*_;22;E/F-T2;payant;24h/24;badge, appli et QR code;2018/07/03
1;81;CAPG;IZIVIA;WiiiZ;FR*A16*P*WIIZ*81*_*_*_;Saint-Vallier-de-Thiey Parking Espace du Thiey;Chemin de la Siagne;06130;6.847364;43.700354;2;FR*A16*E*WIIZ*81*1*1*_;22;E/F-T2;payant;24h/24;badge, appli et QR code;2018/07/03
2;81;CAPG;IZIVIA;WiiiZ;FR*A16*P*WIIZ*81*_*_*_;Saint-Vallier-de-Thiey Parking Espace du Thiey;Chemin de la Siagne;06130;6.847364;43.700354;2;FR*A16*E*WIIZ*81*1*2*_;22;E/F-T2;payant;24h/24;badge, appli et QR code;2018/07/03
1;90;CAPG;IZIVIA;WiiiZ;FR*A16*P*WIIZ*90*_*_*_;Peymeinade Parking Complexe Sportif;Chemin du Stade;06095;6.873651;43.638214;2;FR*A16*E*WIIZ*90*1*1*_;22;E/F-T2;payant;24h/24;badge, appli et QR code;2018/07/06
2;90;CAPG;IZIVIA;WiiiZ;FR*A16*P*WIIZ*90*_*_*_;Peymeinade Parking Complexe Sportif;Chemin du Stade;06095;6.873651;43.638214;2;FR*A16*E*WIIZ*90*1*2*_;22;E/F-T2;payant;24h/24;badge, appli et QR code;2018/07/06
1;91;CAPG;IZIVIA;WiiiZ;FR*A16*P*WIIZ*91*_*_*_;Saint-Cézaire-sur-Siagne Parking Chemin de la Chaux;Chemin de la Chaux;06118;6.793363;43.650308;2;FR*A16*E*WIIZ*91*1*1*_;22;E/F-T2;payant;24h/24;badge, appli et QR code;2018/07/06
2;91;CAPG;IZIVIA;WiiiZ;FR*A16*P*WIIZ*91*_*_*_;Saint-Cézaire-sur-Siagne Parking Chemin de la Chaux;Chemin de la Chaux;06118;6.793363;43.650308;2;FR*A16*E*WIIZ*91*1*2*_;22;E/F-T2;payant;24h/24;badge, appli et QR code;2018/07/06
1;93;CAPG;IZIVIA;WiiiZ;FR*A16*P*WIIZ*93*_*_*_;Grasse - Parking Hôpital;Chemin de Clavary;06130;6.932883;43.620566;2;FR*A16*E*WIIZ*93*1*1*_;22;E/F-T2;payant;24h/24;badge, appli et QR code;2020/03/31
2;93;CAPG;IZIVIA;WiiiZ;FR*A16*P*WIIZ*93*_*_*_;Grasse - Parking Hôpital;Chemin de Clavary;06130;6.932883;43.620566;2;FR*A16*E*WIIZ*93*1*2*_;22;E/F-T2;payant;24h/24;badge, appli et QR code;2020/03/31
1;94;CAPG;IZIVIA;WiiiZ;FR*A16*P*WIIZ*94*_*_*_;Peymeinade - Parking Co-voiturage;Boulevard des 5 Communes ;06530;6.892531;43.64505;2;FR*A16*E*WIIZ*94*1*1*_;22;E/F-T2;payant;24h/24;badge, appli et QR code;2020/03/31
2;94;CAPG;IZIVIA;WiiiZ;FR*A16*P*WIIZ*94*_*_*_;Peymeinade - Parking Co-voiturage;Boulevard des 5 Communes ;06530;6.892531;43.64505;2;FR*A16*E*WIIZ*94*1*2*_;22;E/F-T2;payant;24h/24;badge, appli et QR code;2020/03/31
